Store Nbr	Store Name	FORMATO	WH
1435	MB UMAN	MIBODEGA	4188
1437	MB RUIZ	MIBODEGA	5907
1438	MB ACATLAN DE JUAREZ	MIBODEGA	5907
1440	MB NUEVO IDEAL	MIBODEGA	7487
1444	MB TELOLOAPAN	MIBODEGA	8805
1449	MB TAMAZULA DE GORDIANO	MIBODEGA	5907
1450	MB CD HIDALGO	MIBODEGA	7468
1454	BAE AV ZACATECAS	BAE	7457
1460	SC CUEMANCO	SUPERCENTER	7471
1462	SC LERMA TOLUCA	SUPERCENTER	7464
1465	BA TEPATITLAN	BODEGA	7493
1467	BA INDEPENDENCIA SUR	BODEGA	4640
1468	BA APATZINGAN	BODEGA	7493
1470	BA SAN PEDRO	BODEGA	7490
1471	BA NAVOLATO	BODEGA	7487
1472	MB MEOQUI	MIBODEGA	4640
1477	MB CD SERDAN	MIBODEGA	7471
1478	MB MAGDALENA DE KINO	MIBODEGA	4924
1479	MB SANTA ELENA	MIBODEGA	8805
1489	SC HIPERPLAZA TEXCOCO	SUPERCENTER	7471
1492	WALMART EXPRESS OLIPLAZA	WMEXPRESS	7471
1494	BA ACAMBARO	BODEGA	7494
1497	BA CARACOL	BODEGA	7494
1498	BA PLAN DE GUADALUPE	BODEGA	7490
1501	MB OZUMBA	MIBODEGA	7471
1502	MB CUAUTEPEC DE HINOJOSA	MIBODEGA	8805
1509	SC 15 DE MAYO	SUPERCENTER	7471
1512	SC TERCER ANILLO	SUPERCENTER	7493
1513	SC PORTAL CENTRO	SUPERCENTER	7471
1517	BA SANTA ROSALIA	BODEGA	4640
1519	MB TLALMANALCO	MIBODEGA	7471
1526	BA PARAISO	BODEGA	7468
1527	BAE LA UNION ESCOBEDO	BAE	7461
1528	WALMART EXPRESS CUMBRES	WMEXPRESS	4188
1539	MB ALAMO	MIBODEGA	8805
1540	MB ACATLAN	MIBODEGA	7471
1541	MB CD MIGUEL ALEMAN	MIBODEGA	5922
1549	SC AV DE LOS MAESTROS	SUPERCENTER	7493
1550	SC MACROPLAZA VALLARTA	SUPERCENTER	7493
1553	BA HUINALA MONTERREY	BODEGA	7490
1555	BA SOLIDARIDAD GUAD	BODEGA	7493
1557	BA CD ACUNA	BODEGA	7490
1558	BA LA PALMA	BODEGA	7482
1559	BA SAN MATEO NOPALA	BODEGA	7482
1560	BA J MARIANO JIMENEZ	BODEGA	4640
1561	BA VALLE HERMOSO	BODEGA	7490
1576	BA HAROLD PAPE	BODEGA	7490
1579	BA CALLE DE LOS PINOS	BODEGA	7471
1580	SC EL ROSARIO	SUPERCENTER	7464
1582	BA MONTEMORELOS S BOLIVAR	BODEGA	7490
1583	MB SAN QUINTIN	MIBODEGA	4924
1584	SC ESPACIO ESMERALDA	SUPERCENTER	7464
1585	SC LA ISLA	SUPERCENTER	7487
1586	MB CIENEGA DE FLORES CENT	MIBODEGA	5922
1587	MB LAS VARAS	MIBODEGA	5907
1588	BA SAN GASPAR TONALA	BODEGA	7493
1589	MB ZACOALCO CENTRO	MIBODEGA	5907
1590	BA CASAS GRANDES	BODEGA	4640
1591	MB SAN MARTIN HIDALGO	MIBODEGA	5907
1593	MB SAN MARCOS GRO	MIBODEGA	7471
1596	MB EL SECO	MIBODEGA	7471
1606	MB SAUCILLO	MIBODEGA	4640
1607	MB PUEBLO VIEJO CENTRO	MIBODEGA	8805
1611	BA REYNOSA CENTRO	BODEGA	7490
1613	SC PLAYAS DE TIJUANA	SUPERCENTER	4924
1614	MB JAMAY	MIBODEGA	5907
1615	MB LOMA BONITA	MIBODEGA	7468
1616	SC PACIFICO	SUPERCENTER	4924
1617	SC MEXICALI NOVENA	SUPERCENTER	4924
1621	SC LA ANTORCHA	SUPERCENTER	7464
1622	SC GOMEZ MORIN	SUPERCENTER	7490
1623	SC CUAUHTEMOC	SUPERCENTER	4640
1624	SC COMITAN	SUPERCENTER	7468
1627	WALMART EXPRESS SAN ISIDR	WMEXPRESS	7493
1633	BA MATATLAN	BODEGA	7493
1634	BA CUAUTZINGO CHALCO	BODEGA	7471
1647	MB TALA OESTE	MIBODEGA	5907
1648	MB COCULA JALISCO	MIBODEGA	5907
1649	MB CACAHOATAN	MIBODEGA	7468
1650	MB CD IXTEPEC	MIBODEGA	7468
1651	MB OJO CALIENTE	MIBODEGA	5907
1655	MB JALTENANGO	MIBODEGA	7468
1656	SC CLUB DE GOLF	SUPERCENTER	4640
1659	SC MERIDA CAMPESTRE	SUPERCENTER	4188
1660	BA GUAMUCHIL	BODEGA	7487
1661	BA PENJAMO	BODEGA	7494
1663	BA EL MANANTIAL	BODEGA	7482
1664	BA MEXIQUENSE	BODEGA	7482
1665	BA VILLAS OTOCH	BODEGA	4188
1667	BA CABORCA	BODEGA	4924
1682	SC SALVADOR NAVA	SUPERCENTER	7490
1683	SC VICENTE GUERRERO	SUPERCENTER	7471
1684	SC CHILPANCINGO	SUPERCENTER	7471
1685	SC AEROPUERTO CD D CARMEN	SUPERCENTER	7468
1686	SC LA CIMA	SUPERCENTER	7493
1689	BA REAL DEL BOSQUE CHP	BODEGA	7468
